seq,priority,doi_available,source,year,authors,title,journal,doi,icrv,cdai,dpl,doi_type,fp_type,n,r,notes,extraction_status,abstract
396,Medium,N,,2019,"Sun, Wenbin; Price, Joseph; Ding, Yuan",The longitudinal effects of internationalization on firm performance: The moderating role of marketing capability,JOURNAL OF BUSINESS RESEARCH,,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
397,Medium,N,,2019,"Chen, Ying-Yu",Does Efficient Social-Network Structure Benefit the Performance of Business Groups and Core Firms? The Underlying Mediation Mechanism for Small World Network Structure and Internationalization in Cross-Level Business Group Network,NTU MANAGEMENT REVIEW,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
398,Medium,N,,2019,"Falk, Martin; de Lemos, Francisco Figueira",Complementarity of R&D and productivity in SME export behavior,JOURNAL OF BUSINESS RESEARCH,,,,3,EXP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
399,Medium,N,,2019,"Kashefi, M.; Mohammadi, H.; Abolhasani, L.",Effect of Marketing Strategies on Export Performance of Agricultural Products: The Case of Saffron in Iran,JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY,,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
400,Medium,N,,2018,"Freixanet, Joan; Churakova, Iya","Exploring the Relationship Between Internationalization Stage, Innovation, and Performance: The Case of Spanish Companies",INTERNATIONAL JOURNAL OF BUSINESS,,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:spain,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
401,Medium,N,,2018,"Velez-Calle, Andres; Sanchez-Henriquez, Fernando; Contractor, Farok",Internationalization and performance: the role of depth and breadth,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:usa,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
402,Medium,N,,2018,"Madaleno, Mara; Varum, Celeste Amorim; Horta, Isabel",SMEs Performance and Internationalization: A Traditional Industry Approach,ANNALS OF ECONOMICS AND FINANCE,,,,3,other,ACC,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; fp_auto:pm:Accounting,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
403,Medium,N,,2018,"Purkayastha, Anish",Performance of business group affiliated firms in emerging markets Causal mediation analysis of internationalization and investment into innovation strategy,INTERNATIONAL JOURNAL OF EMERGING MARKETS,,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
404,Medium,N,,2018,"Valero Cordoba, Gladys Mireya; Rodenes, Manuel; Elena Rueda, Gladys",Effects of the use of competitiveness as a strategy on exporting companies: Status of the issue,EQUIDAD & DESARROLLO,,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
405,Medium,N,,2018,"Cieslik, Andrzej; Michalek, Jan Jakub","Process and product innovations, multi-product status and export performance: firm-level evidence from V-4 countries",EQUILIBRIUM-QUARTERLY JOURNAL OF ECONOMICS AND ECONOMIC POLICY,,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
406,Medium,N,,2018,"Rua, Orlando Lima",From intangible resources to export performance: Exploring the mediating effect of absorptive capabilities and innovation,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
407,Medium,N,,2018,"Bykova, Anna; Lopez-Iturriaga, Felix",Exports-performance relationship in Russian manufacturing companies Does foreign ownership play an enhancing role?,BALTIC JOURNAL OF MANAGEMENT,,,M,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; cdai_auto:M,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
408,Medium,N,,2017,"Costa, Stefano; Pappalardo, Carmine; Vicarelli, Claudio",Internationalization choices and Italian firm performance during the crisis,SMALL BUSINESS ECONOMICS,,1,L,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:italy,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
409,Medium,N,,2017,"Dikova, Dessislava; van Witteloostuijn, Arjen; Parker, Simon","Capability, environment and internationalization fit, and financial and marketing performance of MNEs' foreign subsidiaries An abductive contingency approach",CROSS CULTURAL & STRATEGIC MANAGEMENT,,,,3,subsidiaries,ACC,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; fp_auto:pm:Accounting,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
410,Medium,N,,2017,"Li, Jie Yi; Cao, Jin Xia; Liu, Yu Qin",A Study on the Effects of Dual Network Embeddedness on Organizational Learning and Internationalization Performance,EURASIA JOURNAL OF MATHEMATICS SCIENCE AND TECHNOLOGY EDUCATION,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
411,Medium,N,,2017,"Garcia-Garcia, Raquel; Garcia-Canal, Esteban; Guillen, Mauro F.",Rapid internationalization and long-term performance: The knowledge link,JOURNAL OF WORLD BUSINESS,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
412,Medium,N,,2017,"Yarbrough, Earl, Jr.; Abebe, Michael; Dadanlar, Hazel",Board political experience and firm internationalization strategy A resource dependence perspective,JOURNAL OF STRATEGY AND MANAGEMENT,,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
413,Medium,N,,2017,"Liu, Guangqiang; Pang, Lirang; Kong, Dongmin",Effects of human capital on the relationship between export and firm innovation,CHINESE MANAGEMENT STUDIES,,2,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:China,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
414,Medium,N,,2016,"Jeong, So Won",Types of foreign networks and internationalization performance of Korean SMEs,MULTINATIONAL BUSINESS REVIEW,,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
415,Medium,N,,2016,"Horta, Isabel M.; Kapelko, Magdalena; lansink, Alfons OuDe; Camanho, Ana S.",THE IMPACT OF INTERNATIONALIZATION AND DIVERSIFICATION ON CONSTRUCTION INDUSTRY PERFORMANCE,INTERNATIONAL JOURNAL OF STRATEGIC PROPERTY MANAGEMENT,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
416,Medium,N,,2016,"Hilmersson, Mikael; Johanson, Martin",Speed of SME Internationalization and Performance,MANAGEMENT INTERNATIONAL REVIEW,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
417,Medium,N,,2016,"Bekes, Gabor; Murakoezy, Balazs",Measuring productivity premia with many modes of internationalization,ECONOMICS LETTERS,,,,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
418,Medium,N,,2016,"Fernandez-Olmos, Marta; Gargallo-Castel, Ana; Giner-Bagues, Enrique",Internationalisation and performance in Spanish family SMES: The W-curve,BRQ-BUSINESS RESEARCH QUARTERLY,,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:spain,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
419,Medium,N,,2016,"Pinho, Jose Carlos; Prange, Christiane",The effect of social networks and dynamic internationalization capabilities on international performance,JOURNAL OF WORLD BUSINESS,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
420,Medium,N,,2016,"Assaf, A. George; Josiassen, Alexander; Oh, Haemoon",Internationalization and hotel performance: The missing pieces,TOURISM ECONOMICS,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
421,Medium,N,,2016,"Rahko, Jaana",Internationalization of corporate R&D activities and innovation performance,INDUSTRIAL AND CORPORATE CHANGE,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
422,Medium,N,,2016,"Fuchs, Manfred; Koestner, Mariella",Antecedents and consequences of firm's export marketing strategy An empirical study of Austrian SMEs (a contingency perspective),MANAGEMENT RESEARCH REVIEW,,,H,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; cdai_auto:H,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
423,Medium,N,,2016,"Ninerola, Angels; Beatriz Hernandez-Lara, Ana; Victoria Sanchez-Rebull, Maria",The diversity of the top management team and the survival and success of international companies: The case of Spanish companies with foreign direct investment in China,REVISTA INTERNACIONAL DE ORGANIZACIONES,,2,M,3,FDI,SURV,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,
424,Medium,N,,2015,"Yuan, Lin; Pangarkar, Nitin",Performance implications of internationalization strategies for Chinese MNCs,INTERNATIONAL JOURNAL OF EMERGING MARKETS,,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
425,Medium,N,,2015,"Siedschlag, Iulia; Zhang, Xiaoheng",Internationalisation of firms and their innovation and productivity,ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,,,,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
426,Medium,N,,2015,"Urban, Boris; Sefalafala, Mpho R.",THE INFLUENCE OF ENTREPRENEURIAL INTENSITY AND CAPABILITIES ON INTERNATIONALISATION AND FIRM PERFORMANCE,SOUTH AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT SCIENCES,,2,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:south africa,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
427,Medium,N,,2015,"Hsu, Chia-Wen; Lien, Yung-Chih; Chen, Homin",R&D internationalization and innovation performance,INTERNATIONAL BUSINESS REVIEW,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
428,Medium,N,,2015,"Chen, Yan; Zhai, Rui-Rui; Wang, Chengqi; Zhong, Changbiao","Home institutions, internationalization and firm performance Evidence from listed Chinese firms",MANAGEMENT DECISION,,2,L,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
429,Medium,N,,2015,"Sala, Davide; Yalcin, Erdal",Export Experience of Managers and the Internationalisation of Firms,WORLD ECONOMY,,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
430,Medium,N,,2015,"Cieslik, Jerzy; Kaciak, Eugene; Thongpapanl, Narongsak (Tek)",Effect of export experience and market scope strategy on export performance: Evidence from Poland,INTERNATIONAL BUSINESS REVIEW,,3,M,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Poland; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:M,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
431,Medium,N,,2014,"Cheng, Cheng-Ping; Liang, Lien-Wen; Huang, Chen-Ta",Effect of Internationalization on the Cost Efficiency of Taiwan's Banks,EMERGING MARKETS FINANCE AND TRADE,,1,,3,other,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
432,Medium,N,,2014,"Onodi, Annamaria Kazai",Export Performance Clusters of the Hungarian Enterprises: What Factors are Behind the Successful Export Activities?,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,,3,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Hungary; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
433,Medium,N,,2014,"Lojacono, Gabriella; Venzin, Markus",ORGANIZING EXPORT STRATEGIES,ORCHESTRATION OF THE GLOBAL NETWORK ORGANIZATION,,,,3,EXP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
434,Medium,N,,2014,"Cieslik, Andrzej; Michalek, Jan; Michalek, Anna","The Influence of Firm Characteristics and Export Performance in Central and Eastern Europe: Comparisons of Visegrad, Baltic and Caucasus States",ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
435,Medium,N,,2014,"Fonfria, Antonio; Duch-Brown, Nestor",Explaining Export Performance in the Spanish Defense Industry,DEFENCE AND PEACE ECONOMICS,,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Spain; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
436,Medium,N,,2014,"Angeles Diaz-Mayans, M.; Sanchez-Perez, Rosario","Innovation, Exports and Technical Efficiency in Spain","DESIGN A PATTERN OF SUSTAINABLE GROWTH: INNOVATION, EDUCATION, ENERGY AND ENVIRONMENT",,1,H,3,,,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,
437,Medium,N,,2013,"Yang, Yong; Martins, Pedro S.; Driffield, Nigel",Multinational Performance and the Geography of FDI,MANAGEMENT INTERNATIONAL REVIEW,,,,3,FDI,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
438,Medium,N,,2013,"Rodriguez-Pose, Andres; Tselios, Vassilis; Winkler, Deborah; Farole, Thomas",Geography and the Determinants of Firm Exports in Indonesia,WORLD DEVELOPMENT,,2,L,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Indonesia; cdai_auto:L,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
439,Medium,N,,2013,"Kaczmarek, Szymon; Ruigrok, Winfried",In at the Deep End of Firm Internationalization,MANAGEMENT INTERNATIONAL REVIEW,,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
440,Medium,N,,2012,"Assaf, A. George; Josiassen, Alexander; Ratchford, Brian T.; Barros, Carlos Pestana",Internationalization and Performance of Retail Firms: A Bayesian Dynamic Model,JOURNAL OF RETAILING,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
441,Medium,N,,2012,"Fisch, Jan Hendrik",INFORMATION COSTS AND INTERNATIONALIZATION PERFORMANCE,GLOBAL STRATEGY JOURNAL,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
442,Medium,N,,2012,"Merino, Fernando",Firms' internationalization and productivity growth,RESEARCH IN ECONOMICS,,,,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
443,Medium,N,,2012,"Buckley, Peter J.; Kafouros, Mario I.; Sharp, John A.; Wang, Chengqi",The Role of Internationalization in Explaining Innovation Performance,INNOVATIONS IN INTERNATIONAL BUSINESS,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
444,Medium,N,,2012,"Engel, D.; Procher, V.","Export, FDI and firm productivity",APPLIED ECONOMICS,,,,3,FDI,LAB,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:FDI; fp_type_auto:LAB,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
445,Medium,N,,2012,"Durmusoglu, Serdar S.; Apfelthaler, Gerhard; Nayir, Dilek Zamantili; Alvarez, Roberto; Mughan, Terry",The effect of government-designed export promotion service use on small and medium-sized enterprise goal achievement: A multidimensional view of export performance,INDUSTRIAL MARKETING MANAGEMENT,,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
446,Medium,N,,2011,"Li, Lei; Li, Dan; Shi, Weilei (Stone)","Internationalization, internalization and the performance of US biopharmaceutical SMEs",MULTINATIONAL BUSINESS REVIEW,,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
447,Medium,N,,2011,"Pett, Timothy L.; Wolff, James A.","Examining SME performance: the role of innovation, R&D and internationalisation",INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING,,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
448,Medium,N,,2011,"Ho, Chi-Ming; Chuang, Li-Min; Chen, Chi-Yu",REEXAMINATION OF THE RELATIONSHIP BETWEEN INTERNATIONALIZATION AND FIRM PERFORMANCE,ACTUAL PROBLEMS OF ECONOMICS,,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
449,Medium,N,,2011,"Banalieva, Elitsa R.; Sarathy, Ravi",A Contingency Theory of Internationalization Performance for Emerging Market Multinational Enterprises,MANAGEMENT INTERNATIONAL REVIEW,,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
450,Medium,N,,2011,"Chang, Sea-Jin; Rhee, Jay Hyuk",Rapid FDI expansion and firm performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,3,FDI,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
451,Medium,N,,2011,"van Bergeijk, Peter A. G.; Fortanier, Fabienne; Garretsen, Harry; de Groot, Henri L. F.; Moons, Selwyn J. V.",Productivity and Internationalization: A Micro-Data Approach,ECONOMIST-NETHERLANDS,,1,M,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
452,Medium,N,,2011,"Andersen, Torben Juul",The risk implications of multinational enterprise,INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,,,,3,COMP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:COMP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
453,Medium,N,,2010,"Pan, Wei-Hwa; Tsai, Wei-Chun; Kuo, Tsung-Yen",Internationalization and firm performance: Exploring the moderating effects of regional diversification,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,2,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:inferred:title:Africa,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
454,Medium,N,,2009,"Zeng, Saixing; Xie, X. M.; Tam, C. M.; Wan, T. W.",Relationships between business factors and performance in internationalization An empirical study in China,MANAGEMENT DECISION,,2,L,2,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
455,Medium,N,,2009,"Jung, Jae C.; Bansal, Pratima",How Firm Performance Affects Internationalization,MANAGEMENT INTERNATIONAL REVIEW,,,,2,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
456,Medium,N,,2008,"Kafouros, Mario I.; Buckley, Peter J.; Sharp, John A.; Wang, Chengqi",The role of internationalization in explaining innovation performance,TECHNOVATION,,,,2,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
457,Medium,N,,2006,"Castellani, Davide; Zanfei, Antonello","How firms differ in innovation, productivity and internationalisation","MULTINATIONAL FIRMS, INNOVATION AND PRODUCTIVITY",,,,2,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
458,Medium,N,,2006,"Bloodgood, James",Venture adolescence Internationalization and performance implications of maturation,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,,,,2,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
459,Medium,N,,2004,"Hall, Graham; Tu, Ciwen","Internationalization and size, age and profitability in the United Kingdom",HANDBOOK OF RESEARCH ON INTERNATIONAL ENTREPRENEURSHIP,,1,L,2,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
460,Low,Y,,2026,"Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, Ping","Exporting Like China: Productivity, Market Demand, and Labor Frictions",INTERNATIONAL ECONOMIC REVIEW,10.1111/iere.70042,2,L,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
461,Low,Y,,2026,"Hutzschenreuter, Thomas; Kleindienst, Ingo; Sarkar Sengupta, Aditi; Verbeke, Alain","The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants",MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2025-0104,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
462,Low,Y,,2025,"Shershunovich, Yauheniya; Mirzabaev, Alisher","Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus",NATURAL RESOURCES FORUM,10.1111/1477-8947.12525,,,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
463,Low,Y,,2025,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, Ji; Benito, Gabriel R. G.",Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0039,,,3,EXP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
464,Low,Y,,2025,"Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Chun-Chien","Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal competition",JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-04-2024-0284,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
