seq,priority,doi_available,source,year,authors,title,journal,doi,icrv,cdai,dpl,doi_type,fp_type,n,r,notes,extraction_status,abstract,prescreen_flag,prescreen_reason,prescreen_icrv,prescreen_doi_type,prescreen_fp_type
431,Medium,N,,2014,"Cheng, Cheng-Ping; Liang, Lien-Wen; Huang, Chen-Ta",Effect of Internationalization on the Cost Efficiency of Taiwan's Banks,EMERGING MARKETS FINANCE AND TRADE,,1,,3,other,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,1,other,
432,Medium,N,,2014,"Onodi, Annamaria Kazai",Export Performance Clusters of the Hungarian Enterprises: What Factors are Behind the Successful Export Activities?,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,,3,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Hungary; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:export-performance-clusters,,,
433,Medium,N,,2014,"Lojacono, Gabriella; Venzin, Markus",ORGANIZING EXPORT STRATEGIES,ORCHESTRATION OF THE GLOBAL NETWORK ORGANIZATION,,MX,,3,EXP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:export-strategy-organization,,,
434,Medium,N,,2014,"Cieslik, Andrzej; Michalek, Jan; Michalek, Anna","The Influence of Firm Characteristics and Export Performance in Central and Eastern Europe: Comparisons of Visegrad, Baltic and Caucasus States",ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL:antecedent-framing-export-perf,3,,
435,Medium,N,,2014,"Fonfria, Antonio; Duch-Brown, Nestor",Explaining Export Performance in the Spanish Defense Industry,DEFENCE AND PEACE ECONOMICS,,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Spain; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:export-performance-as-DV,,,
436,Medium,N,,2014,"Angeles Diaz-Mayans, M.; Sanchez-Perez, Rosario","Innovation, Exports and Technical Efficiency in Spain","DESIGN A PATTERN OF SUSTAINABLE GROWTH: INNOVATION, EDUCATION, ENERGY AND ENVIRONMENT",,1,H,3,,,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exports+technical-efficiency-as-I→P,,,
437,Medium,N,,2013,"Yang, Yong; Martins, Pedro S.; Driffield, Nigel",Multinational Performance and the Geography of FDI,MANAGEMENT INTERNATIONAL REVIEW,,MX,,3,FDI,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE|FDI,,FDI,
438,Medium,N,,2013,"Rodriguez-Pose, Andres; Tselios, Vassilis; Winkler, Deborah; Farole, Thomas",Geography and the Determinants of Firm Exports in Indonesia,WORLD DEVELOPMENT,,2,L,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Indonesia; cdai_auto:L,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:determinants-of-firm-exports,2,,
439,Medium,N,,2013,"Kaczmarek, Szymon; Ruigrok, Winfried",In at the Deep End of Firm Internationalization,MANAGEMENT INTERNATIONAL REVIEW,,I,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
440,Medium,N,,2012,"Assaf, A. George; Josiassen, Alexander; Ratchford, Brian T.; Barros, Carlos Pestana",Internationalization and Performance of Retail Firms: A Bayesian Dynamic Model,JOURNAL OF RETAILING,,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
441,Medium,N,,2012,"Fisch, Jan Hendrik",INFORMATION COSTS AND INTERNATIONALIZATION PERFORMANCE,GLOBAL STRATEGY JOURNAL,,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
442,Medium,N,,2012,"Merino, Fernando",Firms' internationalization and productivity growth,RESEARCH IN ECONOMICS,,MX,,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|export-productivity,,other,
443,Medium,N,,2012,"Buckley, Peter J.; Kafouros, Mario I.; Sharp, John A.; Wang, Chengqi",The Role of Internationalization in Explaining Innovation Performance,INNOVATIONS IN INTERNATIONAL BUSINESS,,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
444,Medium,N,,2012,"Engel, D.; Procher, V.","Export, FDI and firm productivity",APPLIED ECONOMICS,,MX,,3,FDI,LAB,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:FDI; fp_type_auto:LAB,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:FDI|export-productivity,,FDI,
445,Medium,N,,2012,"Durmusoglu, Serdar S.; Apfelthaler, Gerhard; Nayir, Dilek Zamantili; Alvarez, Roberto; Mughan, Terry",The effect of government-designed export promotion service use on small and medium-sized enterprise goal achievement: A multidimensional view of export performance,INDUSTRIAL MARKETING MANAGEMENT,,MX,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:firm-performance,1,,
446,Medium,N,,2011,"Li, Lei; Li, Dan; Shi, Weilei (Stone)","Internationalization, internalization and the performance of US biopharmaceutical SMEs",MULTINATIONAL BUSINESS REVIEW,,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|MNE,1,other,
447,Medium,N,,2011,"Pett, Timothy L.; Wolff, James A.","Examining SME performance: the role of innovation, R&D and internationalisation",INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING,,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
448,Medium,N,,2011,"Ho, Chi-Ming; Chuang, Li-Min; Chen, Chi-Yu",REEXAMINATION OF THE RELATIONSHIP BETWEEN INTERNATIONALIZATION AND FIRM PERFORMANCE,ACTUAL PROBLEMS OF ECONOMICS,,MX,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|firm-performance,,other,firm_performance
449,Medium,N,,2011,"Banalieva, Elitsa R.; Sarathy, Ravi",A Contingency Theory of Internationalization Performance for Emerging Market Multinational Enterprises,MANAGEMENT INTERNATIONAL REVIEW,,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|MNE,2,other,
450,Medium,N,,2011,"Chang, Sea-Jin; Rhee, Jay Hyuk",Rapid FDI expansion and firm performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,I,,3,FDI,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:FDI|firm-performance,,FDI,firm_performance
451,Medium,N,,2011,"van Bergeijk, Peter A. G.; Fortanier, Fabienne; Garretsen, Harry; de Groot, Henri L. F.; Moons, Selwyn J. V.",Productivity and Internationalization: A Micro-Data Approach,ECONOMIST-NETHERLANDS,,1,M,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|export-productivity,1,other,
452,Medium,N,,2011,"Andersen, Torben Juul",The risk implications of multinational enterprise,INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,,MX,,3,COMP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:COMP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
453,Medium,N,,2010,"Pan, Wei-Hwa; Tsai, Wei-Chun; Kuo, Tsung-Yen",Internationalization and firm performance: Exploring the moderating effects of regional diversification,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,2,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:inferred:title:Africa,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|firm-performance,,other,firm_performance
454,Medium,N,,2009,"Zeng, Saixing; Xie, X. M.; Tam, C. M.; Wan, T. W.",Relationships between business factors and performance in internationalization An empirical study in China,MANAGEMENT DECISION,,2,L,2,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,2,other,
455,Medium,N,,2009,"Jung, Jae C.; Bansal, Pratima",How Firm Performance Affects Internationalization,MANAGEMENT INTERNATIONAL REVIEW,,I,,2,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|firm-performance,,other,firm_performance
456,Medium,N,,2008,"Kafouros, Mario I.; Buckley, Peter J.; Sharp, John A.; Wang, Chengqi",The role of internationalization in explaining innovation performance,TECHNOVATION,,MX,,2,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
457,Medium,N,,2006,"Castellani, Davide; Zanfei, Antonello","How firms differ in innovation, productivity and internationalisation","MULTINATIONAL FIRMS, INNOVATION AND PRODUCTIVITY",,MX,,2,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|MNE|export-productivity,,other,
458,Medium,N,,2006,"Bloodgood, James",Venture adolescence Internationalization and performance implications of maturation,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,,MX,,2,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
459,Medium,N,,2004,"Hall, Graham; Tu, Ciwen","Internationalization and size, age and profitability in the United Kingdom",HANDBOOK OF RESEARCH ON INTERNATIONAL ENTREPRENEURSHIP,,1,L,2,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|financial-perf,1,other,financial_perf
460,Low,Y,,2026,"Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, Ping","Exporting Like China: Productivity, Market Demand, and Labor Frictions",INTERNATIONAL ECONOMIC REVIEW,10.1111/iere.70042,2,L,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|export-productivity,2,,
461,Low,Y,,2026,"Hutzschenreuter, Thomas; Kleindienst, Ingo; Sarkar Sengupta, Aditi; Verbeke, Alain","The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants",MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2025-0104,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
462,Low,Y,,2025,"Shershunovich, Yauheniya; Mirzabaev, Alisher","Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus",NATURAL RESOURCES FORUM,10.1111/1477-8947.12525,MX,,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|export-productivity,,,
463,Low,Y,,2025,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, Ji; Benito, Gabriel R. G.",Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0039,I,,3,EXP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporting-moderates-R&D→NPD-performance,,,
464,Low,Y,,2025,"Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Chun-Chien","Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal competition",JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-04-2024-0284,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
465,Low,Y,,2025,"Geldres-Weiss, Valeska V.; Guerrero-Stuardo, Pedro E.; Marinova, Svetla; Ortiz-Cea, Vesnia; Reveco, Roberto","Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm Performance in the Exporting Meat Industry",SUSTAINABILITY,10.3390/su17125381,MX,,3,EXP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|firm-performance|export-productivity,,,firm_performance
466,Low,Y,,2024,"Idris, Bochra; Saridakis, George; Georgellis, Yannis; Lai, Yanqing; Johnstone, Stewart",Exporting is a team sport: the link between management training and performance in SMEs,INTERNATIONAL JOURNAL OF MANPOWER,10.1108/ijm-03-2023-0150,MX,,3,EXP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporting→performance-in-SMEs,,,
467,Low,Y,,2024,"Chaudhuri, Ranjan; Vrontis, Demetris; Chatterjee, Sheshadri","External environment and internal dynamics of ""born global"": strategic and operational firm performance",MANAGEMENT DECISION,10.1108/md-02-2023-0168,MX,,3,,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:firm-performance,,,firm_performance
468,Low,Y,,2023,"Heriqbaldi, Unggul; Jayadi, Achmad; Erlando, Angga; Samudro, Bhimo Rizky; Widodo, Wahyu; Esquivias, Miguel Angel","Survey data on organizational resources and capabilities, export marketing strategy, export competitiveness, and firm performance in exporting firms in Indonesia",DATA IN BRIEF,10.1016/j.dib.2023.109112,2,L,3,EXP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|firm-performance,2,,firm_performance
469,Low,Y,,2023,"Venugopal, Ajith; Al-Shammari, Marwan; Thotapalli, Prasad M. V.; Fuad, Mohammad",Liabilities of origin and its influence on firm's corporate social performance? A study of emerging market multinational corporations,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.22354,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,2,other,
470,Low,Y,,2022,"Nkambule, Ncamsile Ashley; Wang, Wei-Kang; Ting, Irene Wei Kiong; Lu, Wen-Min",Intellectual capital and firm efficiency of US multinational software firms,JOURNAL OF INTELLECTUAL CAPITAL,10.1108/jic-02-2021-0041,1,L,3,other,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,1,other,
471,Low,Y,,2021,"Morgan, Horatio M.; Sui, Sui; Malhotra, Shavin",No place like home: The effect of exporting to the country of origin on the financial performance of immigrant-owned SMEs,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-020-00360-8,I,,3,EXP,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=financial_perf; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|financial-perf,,,financial_perf
472,Low,Y,,2021,"Gkypali, Areti; Love, James H.; Roper, Stephen",Export status and SME productivity: Learning-to-export versus learning-by-exporting,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2021.02.026,MX,,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|export-productivity,,,
473,Low,Y,,2021,"Alnori, Faisal",Exploring nonlinear linkage between profitability and leverage: US multinational versus domestic corporations,JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,10.1111/jifm.12134,1,L,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE|financial-perf,1,other,financial_perf
474,Low,Y,,2020,"Campos-Garcia, Irene; Munoz-Bullon, Fernando; Sanchez-Bueno, Maria J.; Angel Zuniga-Vicente, Jose",Exploring the exporting-downsizing link: Does the type of export strategy and firm efficiency in foreign markets matter?,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2019.10.074,MX,,3,EXP,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporting→firm-efficiency,,,
475,Low,Y,,2020,"Yu, Ying; Hu, Xiaoling; Wang, Yong; Ward, Philippa",A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Global Firm Performance,SUSTAINABILITY,10.3390/su12145508,2,L,3,,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:firm-performance,2,,firm_performance
476,Low,Y,,2020,"Revindo, Mohamad Dian; Gan, Christopher; Alta, Aditya",Do Export Activities Improve Small Firm Performance? Evidence from Indonesia,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,10.21002/seam.v14i2.11771,2,L,3,EXP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:firm-performance,2,,firm_performance
477,Low,Y,,2019,"Assadinia, Shahin; Boso, Nathaniel; Hultman, Magnus; Robson, Matthew",Do Export Learning Processes Affect Sales Growth in Exporting Activities?,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x19848425,I,,3,EXP,sales_growth,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=sales_growth; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|sales-growth,,,sales_growth
478,Low,Y,,2019,"Rezende, Ligia de Azevedo; Bansi, Ana Claudia; Rodrigues Alves, Marlon Fernandes; Ribeiro Galina, Simone Vasconcelos",Take your time: Examining when green innovation affects financial performance in multinationals,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2019.06.135,MX,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=financial_perf,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE|financial-perf,,other,financial_perf
479,Low,Y,,2019,"Ferrante, Maria R.; Freo, Marzia",Detecting learning-by-exporting effects on firms' productivity distribution by accounting for heterogeneous macrofactors and panel attrition,WORLD ECONOMY,10.1111/twec.12807,MX,,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|export-productivity,,,
480,Low,Y,,2018,"Sharma, Chandan","Exporting, access of foreign technology, and firms' performance: Searching the link in Indian manufacturing",QUARTERLY REVIEW OF ECONOMICS AND FINANCE,10.1016/j.qref.2017.11.015,2,L,3,EXP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporting→firms-performance-india,2,,
481,Low,Y,,2018,"Bougheas, Spiros; Lim, Hosung; Mateut, Simona; Mizen, Paul; Yalcin, Cihan","Foreign currency borrowing, exports and firm performance: evidence from a currency crisis",EUROPEAN JOURNAL OF FINANCE,10.1080/1351847x.2017.1421246,1,M,3,EXP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance; icrv_auto:country:europe; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:firm-performance,,,firm_performance
482,Low,Y,,2017,"Tse, Caleb H.; Yu, Linhui; Zhu, Jianjun",A Multimediation Model of Learning by Exporting: Analysis of Export-Induced Productivity Gains,JOURNAL OF MANAGEMENT,10.1177/0149206315573998,MX,,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|export-productivity,,,
483,Low,Y,,2017,"Metz, Philipp","Distances, multinational organisational learning, and firm performance: a new perspective",INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT,10.1504/ijbe.2017.10006208,MX,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE|firm-performance,,other,firm_performance
484,Low,Y,,2015,Thi Thu Tra Pham,Does Exporting Spur Firm Productivity? Evidence from Vietnam,JOURNAL OF SOUTHEAST ASIAN ECONOMIES,10.1355/ae32-1e,2,L,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:exporter+fp-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporter|export-productivity,2,,
485,Low,Y,,2015,"Aguilera-Caracuel, Javier; Guerrero-Villegas, Jaime; Dolores Vidal-Salazar, Maria; Delgado-Marquez, Blanca L.",International Cultural Diversification and Corporate Social Performance in Multinational Enterprises: The Role of Slack Financial Resources,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-014-0225-4,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
486,Low,Y,,2015,"Lu, Cheng-Chang; Kuan, Tsung-Han; Liu, Chwen-Chi",Effects of Location Diversification and Corporate Governance on Multinational Enterprises' Financial Performance and Risk-taking: Evidence from Taiwanese Enterprises,CHINA & WORLD ECONOMY,10.1111/cwe.12128,1,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE|firm-performance|financial-perf,1,other,financial_perf
487,Low,Y,,2014,"Mohr, Alex; Fastoso, Fernando; Wang, Chengang; Shirodkar, Vikrant","Testing the Regional Performance of Multinational Enterprises in the Retail Sector: The Moderating Effects of Timing, Speed and Experience",BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12013,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:uk,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
488,Low,Y,,2013,"Dau, Luis Alfonso","Learning across geographic space: Pro-market reforms, multinationalization strategy, and profitability",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2013.5,MX,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=financial_perf,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE|financial-perf,,other,financial_perf
489,Low,Y,,2012,"Andersen, Torben Juul",Multinational risk and performance outcomes: Effects of knowledge intensity and industry context,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.02.005,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
